,OMIMID,OMOPID
814,601367,36718005
815,601367,36210384
816,601367,381316
817,601367,381591
818,601367,381316
819,601367,381591
820,601367,443454
821,601367,381591
822,601367,381316
823,601367,381591
824,102500,4270610
825,102500,4270610
826,102500,75924
827,102500,78308
828,102500,4099324
829,102500,36468006
830,102500,4270610
831,102500,4099324
832,102500,4270610
833,150600,4345598
834,150600,435636
835,150600,36570777
836,150600,4345598
837,150600,4006963
838,150600,4345598
839,150600,4006963
840,150600,435636
841,166710,80502
842,166710,4010333
843,166710,80502
844,166710,36416551
845,166710,45882790
846,166710,80502
847,166710,80502
848,166710,4010333
849,166710,40480160
850,166710,80502
851,166710,80502
852,166710,80502
853,166710,4010333
854,166710,36416553
855,166710,80502
856,602080,75910
857,602080,75910
858,602080,75910
859,602080,36516748
860,602080,75910
861,167320,45766396
862,167320,137275
863,167320,45766396
864,171300,4118993
865,171300,4163908
866,171300,4118993
867,171300,35506734
868,171300,4311087
869,171300,4118993
870,171300,444463
871,171300,4130676
872,171300,192273
873,171300,4155167
874,231200,4121133
875,231200,35125720
876,231200,437241
877,231200,4121133
878,608622,0
879,155100,440508
880,155100,37016797
881,155100,312358
882,155100,4030517
883,155100,4121264
884,155100,437242
885,155100,441264
886,161900,4125967
887,161900,319826
888,161900,45766198
889,161900,193253
890,161900,4125967
891,273800,4139942
892,273800,4139942
893,273800,35125719
894,273800,4139942
895,273800,437241
896,607459,44782474
897,607459,4274575
898,607459,4133223
899,607459,4059379
900,150600,4345598
901,150600,435636
902,150600,36570777
903,150600,4345598
904,150600,4006963
905,150600,4345598
906,150600,4006963
907,150600,435636
908,208230,4109171
909,208230,135061
910,208230,4109171
911,208230,4150456
912,308205,36713570
913,308205,440508
914,147530,0
915,106400,77961
916,106400,36516826
917,106400,77961
918,106400,77961
919,106400,77961
920,106400,77646
921,140600,80180
922,140600,72990
923,140600,80180
924,140600,4025957
925,140600,80180
926,607850,80180
927,607850,72990
928,607850,80180
929,607850,4025957
930,607850,80180
931,165720,80180
932,165720,80180
933,165720,80180
934,165720,36516824
935,165720,45884766
936,165720,80180
937,165720,72990
938,165720,4025957
939,165720,80180
940,165720,80180
941,607459,44782474
942,607459,4274575
943,607459,4133223
944,607459,4059379
945,208230,4109171
946,208230,135061
947,208230,4109171
948,208230,4150456
949,147530,0
950,140600,80180
951,140600,72990
952,140600,80180
953,140600,4025957
954,140600,80180
955,607850,80180
956,607850,72990
957,607850,80180
958,607850,4025957
959,607850,80180
960,165720,80180
961,165720,80180
962,165720,80180
963,165720,36516824
964,165720,45884766
965,165720,80180
966,165720,72990
967,165720,4025957
968,165720,80180
969,165720,80180
970,252320,0
971,147530,0
972,600808,0
973,167870,436074
974,167870,436074
975,167870,436074
976,167870,4211231
977,167870,436074
978,167870,36978797
979,167870,45880470
980,600631,193874
981,600631,36979757
982,600631,193874
983,600631,193874
984,143465,4049391
985,143465,438409
986,143465,438409
987,143465,4253962
988,143465,440086
989,143465,438409
990,143465,438409
991,143465,36978839
992,143465,438409
993,143465,438409
994,143465,438409
995,276300,788469
996,276300,4266973
997,276300,4180790
998,276300,4266973
999,263300,135214
1000,263300,4030270
1001,263300,135214
1002,263300,35123385
1003,263300,135214
1004,263300,135214
1005,263300,135214
1006,263300,35123376
1007,263300,135214
1008,144700,45765451
1009,144700,36672190
1010,144700,4095169
1011,144700,4215373
1012,144700,4110880
1013,144700,45765451
1014,144700,4110880
1015,144700,36672143
1016,144700,196653
1017,144700,198985
1018,155601,4095592
1019,155601,133713
1020,155601,4149851
1021,155601,42890928
1022,155601,434590
1023,155601,4089860
1024,155601,4153890
1025,155601,4112850
1026,155601,4089867
1027,155601,4095589
1028,155601,133419
1029,155601,141232
1030,155600,4162276
1031,155600,4049499
1032,155600,141232
1033,155600,141232
1034,155600,141232
1035,155600,141232
1036,155600,36674048
1037,155600,141232
1038,155600,141232
1039,155600,42890928
1040,155600,4095592
1041,155600,4095589
1042,155600,4089860
1043,155600,4149851
1044,155600,4095589
1045,155600,141232
1046,155600,434590
1047,155600,139757
1048,155600,133713
1049,155600,133419
1050,155600,4095592
1051,155600,4049499
1052,155600,438983
1053,155600,133419
1054,155600,4089867
1055,155600,133713
1056,155600,4271013
1057,155600,4162276
1058,155600,36617920
1059,155600,45883441
1060,155600,4049499
1061,155600,133714
1062,155600,4162276
1063,155600,4112850
1064,155600,36617938
1065,155600,140048
1066,155600,4153890
1067,187950,438383
1068,187950,438383
1069,187950,438383
1070,187950,438383
1071,187950,35123356
1072,605839,0
1073,276300,788469
1074,276300,4266973
1075,276300,4180790
1076,276300,4266973
1077,273300,45887447
1078,273300,37017324
1079,273300,37017324
1080,273300,433716
1081,273300,40482780
1082,273300,36617741
1083,273300,4177115
1084,273300,36617724
1085,273300,4181351
1086,273300,36617722
1087,273300,4129900
1088,273300,36603395
1089,273300,433716
1090,273300,43054080
1091,273300,4244815
1092,273300,4092524
1093,273300,4177115
1094,273300,4092524
1095,273300,37017324
1096,273300,4114339
1097,273300,36671423
1098,273300,4300688
1099,273300,79768
1100,273300,4129900
1101,236000,4263909
1102,236000,4038835
1103,236000,4031667
1104,236000,4251036
1105,236000,4038839
1106,236000,35104405
1107,236000,4038840
1108,236000,4038839
1109,236000,4041797
1110,236000,4322613
1111,236000,4038835
1112,236000,4038835
1113,236000,4041797
1114,236000,4038839
1115,236000,4038835
1116,236000,4041797
1117,236000,4038840
1118,236000,4038835
1119,236000,4038835
1120,236000,4038839
1121,236000,4038835
1122,236000,4041797
1123,236000,4038839
1124,236000,4038835
1125,236000,4041798
1126,236000,4322613
1127,236000,4038841
1128,236000,4038840
1129,236000,4038835
1130,236000,4038839
1131,236000,4038835
1132,236000,4038835
1133,236000,4038842
1134,236000,4038843
1135,236000,4038840
1136,236000,4038835
1137,236000,4038839
1138,182280,4110591
1139,182280,4252582
1140,182280,4112739
1141,182280,4298553
1142,182280,4112739
1143,182280,36617908
1144,182280,4110591
1145,182280,4094876
1146,182280,4311499
1147,176807,4161028
1148,176807,4129902
1149,176807,200962
1150,176807,36603392
1151,176807,45884513
1152,176807,200962
1153,176807,4163261
1154,176807,4163261
1155,176807,200962
1156,176807,37395835
1157,176807,4129902
1158,176807,4161028
1159,176807,36673083
1160,176807,4129902
1161,176807,36617720
1162,176807,4129902
1163,600082,198803
1164,600082,37119607
1165,600082,198803
1166,600082,198803
1167,600082,198803
1168,600082,197032
1169,600082,198803
1170,600082,198803
1171,157950,433229
1172,157950,35736213
1173,157950,433229
1174,157950,433229
1175,157950,433229
1176,147530,0
1177,608622,0
1178,161900,4125967
1179,161900,319826
1180,161900,45766198
1181,161900,193253
1182,161900,4125967
1183,200170,4299544
1184,200170,140489
1185,200170,36617314
1186,200170,4299544
1187,144110,4299805
1188,144110,4299805
1189,144110,4299805
1190,208550,0
1191,215470,37399488
1192,215470,4263879
1193,241100,4175133
1194,241100,4175133
1195,241100,35506599
1196,241100,4147482
1197,241100,26662
1198,241100,4167354
1199,241100,4167354
1200,241100,35506562
1201,114480,4112853
1202,114480,4112853
1203,114480,36617162
1204,114480,45884515
1205,114480,4116071
1206,114480,81251
1207,114480,81250
1208,114480,4110861
1209,114480,4188544
1210,114480,4155292
1211,114480,4160780
1212,114480,36617185
1213,114480,81251
1214,114480,4112853
1215,114480,4187848
1216,114480,4110861
1217,114480,4092511
1218,114480,4112853
1219,114480,4187849
1220,114480,4112853
1221,114480,72576
1222,114480,36670902
1223,114480,4116071
1224,114480,4112853
